Regression Centroids (Box B): 4
Excluded Recent Centroids (Box A): 2
Math Search Window (Bars): 3000
Visual EDT Window (Bars): 1496
Observation Window (Box B Bars): 1135
Total 171 Crossings (n): 107
Timeframe (Sec): 900
Raw Slope (b): -0.26760
Regression Angle: -29.73
Anchored Y-Int: 4417.30201

[MODEL A; CROSSINGS]
Sample (n): 107
R-Square: 0.8055
MSE: 1722.1930
Var Ratio: 1.95
Skewness: -0.21
Kurtosis: 2.21

[MODEL B; CLOSE PRICE]
Sample (n): 1135
R-Square: 0.7958
MSE: 1661.0493
Var Ratio: 2.30
Skewness: -0.22
Kurtosis: 2.33

timestamp	symbol	timeframe	close	CEN_0	CEN_1	CEN_2	CEN_3	CEN_4	CEN_5	CEN_6	CEN_7	CEN_8	CEN_9	CEN_10	CEN_11	Base_FL	EDT_1	EDT_2	EDT_3	EDT_4	EDT_5	EDT_6	EDT_7	EDT_8	horiz_high_map	horiz_low_map	ssa	ema_ssa	crossing
1777951802	XAUUSD	M15	4535.98	4518.59282	4596.05595	4755.40355	4792.76972																				4535.49685	4537.19247	0
1777952702	XAUUSD	M15	4534.67	4518.59282	4596.05595	4755.40355	4792.76972																				4533.94874	4535.57060	0
1777953602	XAUUSD	M15	4532.97	4518.59282	4596.05595	4755.40355	4792.76972																				4532.99222	4534.28141	0
1777954502	XAUUSD	M15	4529.71	4518.59282	4596.05595	4755.40355	4792.76972																				4532.81797	4533.54969	0
1777955402	XAUUSD	M15	4531.71	4518.59282	4596.05595	4755.40355	4792.76972																				4533.58094	4533.56532	1
1777956302	XAUUSD	M15	4533.58	4518.59282	4596.05595	4755.40355	4792.76972																				4535.16184	4534.36358	0
1777957202	XAUUSD	M15	4540.20	4518.59282	4596.05595	4755.40355	4792.76972																				4537.31816	4535.84087	0
1777958102	XAUUSD	M15	4540.11	4518.59282	4596.05595	4755.40355	4792.76972																				4539.63197	4537.73642	0
1777959002	XAUUSD	M15	4545.86	4518.59282	4596.05595	4755.40355	4792.76972																				4541.85448	4539.79545	0
1777959902	XAUUSD	M15	4545.73	4518.59282	4596.05595	4755.40355	4792.76972																				4543.62782	4541.71164	0
1777960802	XAUUSD	M15	4543.66	4518.59282	4596.05595	4755.40355	4792.76972																				4544.89690	4543.30427	0
1777961702	XAUUSD	M15	4536.86	4518.59282	4596.05595	4755.40355	4792.76972																				4545.77755	4544.54091	0
1777962602	XAUUSD	M15	4546.17	4518.59282	4596.05595	4755.40355	4792.76972																				4546.57778	4545.55934	0
1777963502	XAUUSD	M15	4548.12	4518.59282	4596.05595	4755.40355	4792.76972																				4547.20034	4546.37984	0
1777964402	XAUUSD	M15	4554.04	4518.59282	4596.05595	4755.40355	4792.76972																				4547.73801	4547.05893	0
1777965302	XAUUSD	M15	4548.94	4518.59282	4596.05595	4755.40355	4792.76972																				4548.21468	4547.63680	0
1777966202	XAUUSD	M15	4551.29	4518.59282	4596.05595	4755.40355	4792.76972																				4548.93210	4548.28445	0
1777967102	XAUUSD	M15	4545.57	4518.59282	4596.05595	4755.40355	4792.76972																				4549.90845	4549.09645	0
1777968002	XAUUSD	M15	4551.12	4518.59282	4596.05595	4755.40355	4792.76972																				4551.30899	4550.20272	0
1777968902	XAUUSD	M15	4551.48	4518.59282	4596.05595	4755.40355	4792.76972																				4552.84139	4551.52206	0
1777969802	XAUUSD	M15	4550.32	4518.59282	4596.05595	4755.40355	4792.76972																				4554.25508	4552.88857	0
1777970702	XAUUSD	M15	4558.34	4518.59282	4596.05595	4755.40355	4792.76972																				4555.30266	4554.09561	0
1777971602	XAUUSD	M15	4557.61	4518.59282	4596.05595	4755.40355	4792.76972																				4555.56282	4554.82922	0
1777972502	XAUUSD	M15	4552.30	4518.59282	4596.05595	4755.40355	4792.76972																				4554.98614	4554.90768	0
1777973402	XAUUSD	M15	4555.50	4518.59282	4596.05595	4755.40355	4792.76972																				4553.80154	4554.35461	1
1777974302	XAUUSD	M15	4556.21	4518.59282	4596.05595	4755.40355	4792.76972																				4552.18957	4553.27209	0
1777975202	XAUUSD	M15	4553.01	4518.59282	4596.05595	4755.40355	4792.76972																				4550.49676	4551.88442	0
1777976102	XAUUSD	M15	4547.92	4518.59282	4596.05595	4755.40355	4792.76972																				4549.23110	4550.55776	0
1777977002	XAUUSD	M15	4545.13	4518.59282	4596.05595	4755.40355	4792.76972																				4548.92382	4549.74079	0
1777977902	XAUUSD	M15	4543.73	4518.59282	4596.05595	4755.40355	4792.76972																				4549.87029	4549.80554	1
1777978802	XAUUSD	M15	4552.62	4518.59282	4596.05595	4755.40355	4792.76972																			4540.00000	4552.13222	4550.96888	0
1777979702	XAUUSD	M15	4556.17	4518.59282	4596.05595	4755.40355	4792.76972																				4555.27370	4553.12129	0
