z-score_timestamp	z-score_symbol	z-score_timeframe	z-score_close	z-score_open	z-score_high	z-score_low	body_direction	body_size	body_classification
1789702801	XAUUSD	M5	4357.51	4352.73	4358.90	4351.89	1	0.45803	0
1789703101	XAUUSD	M5	4358.73	4357.46	4360.78	4357.39	1	0.45634	0
1789703401	XAUUSD	M5	4358.62	4358.73	4359.46	4357.01	-1	0.75578	3
1789703701	XAUUSD	M5	4359.31	4358.63	4360.67	4357.75	1	0.60779	0
1789704001	XAUUSD	M5	4360.89	4359.15	4361.48	4357.70	1	0.32785	0
1789704301	XAUUSD	M5	4359.64	4360.89	4361.22	4359.25	-1	0.45623	3
1789704601	XAUUSD	M5	4356.96	4359.64	4360.23	4356.96	-1	0.07787	3
1789704901	XAUUSD	M5	4353.57	4356.96	4357.29	4353.54	-1	0.11125	3
1789705201	XAUUSD	M5	4355.60	4353.51	4356.47	4352.81	1	0.23187	0
1789705501	XAUUSD	M5	4357.91	4355.60	4357.97	4355.29	1	0.17232	0
1789705801	XAUUSD	M5	4358.54	4358.11	4361.01	4357.15	1	0.66657	0
1789706101	XAUUSD	M5	4359.77	4358.54	4360.25	4358.28	1	0.45402	0
1789706401	XAUUSD	M5	4364.59	4359.77	4365.50	4359.43	1	0.49080	0
1789706701	XAUUSD	M5	4365.30	4364.57	4366.54	4364.08	1	0.58321	0
1789707001	XAUUSD	M5	4361.57	4365.20	4366.79	4361.19	-1	0.17896	3
1789707301	XAUUSD	M5	4366.99	4361.56	4366.99	4361.19	1	0.65384	0
1789707601	XAUUSD	M5	4366.22	4366.88	4367.31	4364.14	-1	0.59986	3
1789707901	XAUUSD	M5	4368.09	4366.06	4369.18	4364.10	1	0.23662	0
1789708201	XAUUSD	M5	4365.46	4368.09	4368.41	4365.44	-1	0.07765	3
1789708501	XAUUSD	M5	4368.74	4365.46	4369.54	4365.29	1	0.09203	0
1789708801	XAUUSD	M5	4366.76	4368.78	4368.80	4366.04	-1	0.23922	3
1789709101	XAUUSD	M5	4364.66	4366.76	4366.96	4363.85	-1	0.21595	3
1789709401	XAUUSD	M5	4362.79	4365.45	4365.69	4360.39	-1	0.06760	3
1789709701	XAUUSD	M5	4372.28	4362.74	4372.92	4362.74	1	1.73725	1
1789710001	XAUUSD	M5	4377.09	4372.29	4378.20	4370.51	1	0.48841	0
1789710301	XAUUSD	M5	4370.79	4377.10	4377.78	4370.79	-1	0.88238	3
1789710601	XAUUSD	M5	4373.43	4370.79	4374.74	4370.53	1	0.08261	0
1789710901	XAUUSD	M5	4377.38	4373.50	4378.03	4370.96	1	0.24157	0
1789711201	XAUUSD	M5	4382.37	4377.36	4386.98	4377.31	1	0.53836	0
1789711501	XAUUSD	M5	4387.42	4382.33	4388.15	4379.65	1	0.55721	0
1789711801	XAUUSD	M5	4389.04	4387.36	4390.26	4386.40	1	0.33987	0
1789712101	XAUUSD	M5	4384.81	4388.98	4389.04	4381.85	-1	0.31285	3
1789712401	XAUUSD	M5	4391.53	4384.81	4391.77	4384.58	1	0.97946	0
1789712701	XAUUSD	M5	4392.43	4391.53	4393.87	4391.06	1	0.54871	0
1789713001	XAUUSD	M5	4393.17	4392.42	4393.64	4390.83	1	0.58729	0
1789713301	XAUUSD	M5	4394.51	4393.15	4394.56	4391.93	1	0.42773	0
1789713601	XAUUSD	M5	4396.12	4394.56	4396.95	4393.82	1	0.37626	0
1789713901	XAUUSD	M5	4395.31	4396.12	4397.17	4394.89	-1	0.57286	3
1789714201	XAUUSD	M5	4391.20	4395.29	4395.40	4390.56	-1	0.28658	3
1789714501	XAUUSD	M5	4393.43	4391.24	4394.09	4389.73	1	0.21361	0
1789714801	XAUUSD	M5	4391.39	4393.46	4395.50	4390.88	-1	0.24538	3
1789715101	XAUUSD	M5	4393.69	4391.39	4395.68	4391.21	1	0.18537	0
1789715401	XAUUSD	M5	4390.48	4393.69	4394.07	4388.97	-1	0.05215	3
1789715701	XAUUSD	M5	4392.77	4390.51	4393.97	4389.72	1	0.19854	0
1789716001	XAUUSD	M5	4393.40	4392.79	4394.70	4391.76	1	0.63305	0
1789716301	XAUUSD	M5	4395.67	4393.40	4395.87	4392.33	1	0.19607	0
1789716601	XAUUSD	M5	4393.28	4395.69	4397.20	4392.02	-1	0.15942	3
1789716901	XAUUSD	M5	4393.81	4393.28	4397.04	4392.10	1	0.65141	0
1789717201	XAUUSD	M5	4393.72	4393.81	4395.25	4391.30	-1	0.76720	3
1789717501	XAUUSD	M5	4397.32	4393.75	4397.40	4393.69	1	0.14684	0
1789717801	XAUUSD	M5	4397.16	4397.35	4399.56	4395.28	-1	0.74071	3
1789718101	XAUUSD	M5	4393.36	4397.34	4397.72	4392.68	-1	0.26462	3
1789718401	XAUUSD	M5	4397.56	4393.62	4398.25	4392.86	1	0.29029	0
1789718701	XAUUSD	M5	4394.92	4397.79	4398.38	4394.20	-1	0.01188	3
1789719001	XAUUSD	M5	4390.44	4394.88	4395.16	4390.40	-1	0.46001	3
1789719301	XAUUSD	M5	4391.69	4390.46	4392.60	4390.00	1	0.47940	0
1789719601	XAUUSD	M5	4390.00	4391.54	4393.82	4389.57	-1	0.38654	3
1789719901	XAUUSD	M5	4387.88	4390.04	4390.54	4387.76	-1	0.20067	3
1789720201	XAUUSD	M5	4387.75	4387.92	4388.84	4386.16	-1	0.87461	3
1789720501	XAUUSD	M5	4386.72	4387.76	4389.47	4386.02	-1	0.57673	3
1789720801	XAUUSD	M5	4386.82	4386.95	4387.07	4385.20	-1	0.88294	3
1789721101	XAUUSD	M5	4386.84	4386.90	4388.90	4386.36	-1	0.90309	3
1789721401	XAUUSD	M5	4392.03	4386.85	4392.92	4386.85	1	0.95305	0
1789721701	XAUUSD	M5	4392.24	4391.97	4394.24	4391.77	1	0.89034	0
1789722001	XAUUSD	M5	4395.02	4392.35	4395.20	4391.71	1	0.02143	0
1789722301	XAUUSD	M5	4396.18	4395.02	4397.35	4394.32	1	0.57630	0
1789722601	XAUUSD	M5	4394.49	4396.16	4398.14	4394.28	-1	0.36631	3
1789722901	XAUUSD	M5	4393.13	4394.51	4395.34	4392.69	-1	0.48255	3
1789723201	XAUUSD	M5	4391.37	4393.20	4394.88	4391.08	-1	0.29542	3
1789723501	XAUUSD	M5	4387.97	4391.15	4391.17	4385.77	-1	0.25666	3
1789723801	XAUUSD	M5	4385.75	4387.80	4388.76	4385.60	-1	0.20261	3
1789724101	XAUUSD	M5	4381.36	4385.79	4386.21	4381.01	-1	0.78102	3
1789724401	XAUUSD	M5	4376.75	4381.31	4381.72	4376.75	-1	0.83179	3
1789724701	XAUUSD	M5	4374.73	4376.59	4377.03	4373.38	-1	0.28507	3
1789725001	XAUUSD	M5	4378.18	4374.74	4378.18	4374.29	1	0.36971	0
1789725301	XAUUSD	M5	4376.55	4378.15	4378.22	4375.96	-1	0.39499	3
1789725601	XAUUSD	M5	4377.02	4376.55	4379.22	4375.83	1	0.86266	0
1789725901	XAUUSD	M5	4378.96	4376.70	4379.82	4376.17	1	0.11893	0
1789726201	XAUUSD	M5	4379.07	4378.96	4380.03	4378.04	1	1.00767	0
1789726501	XAUUSD	M5	4379.65	4379.09	4379.86	4377.58	1	0.81958	0
1789726801	XAUUSD	M5	4379.96	4379.65	4380.35	4378.08	1	0.91889	0
1789727101	XAUUSD	M5	4381.46	4379.96	4381.46	4378.98	1	0.42671	0
