timestamp	symbol	timeframe	close	zigzag_high	zigzag_low	ema
1772012100	XAUUSD	M5	5191.08	0.00	0.00	5188.45
1772012400	XAUUSD	M5	5191.02	0.00	0.00	5188.67
1772012700	XAUUSD	M5	5190.63	0.00	0.00	5188.84
1772013000	XAUUSD	M5	5190.48	0.00	0.00	5189.01
1772013300	XAUUSD	M5	5193.27	0.00	0.00	5189.20
1772013600	XAUUSD	M5	5188.91	5195.14	0.00	5189.32
1772013900	XAUUSD	M5	5184.33	0.00	0.00	5189.09
1772014200	XAUUSD	M5	5184.63	0.00	0.00	5188.76
1772014500	XAUUSD	M5	5177.70	0.00	0.00	5188.12
1772014800	XAUUSD	M5	5174.18	0.00	0.00	5187.29
1772015100	XAUUSD	M5	5175.13	0.00	0.00	5186.47
1772015400	XAUUSD	M5	5173.24	0.00	0.00	5185.53
1772015700	XAUUSD	M5	5179.02	0.00	0.00	5184.93
1772016000	XAUUSD	M5	5176.86	0.00	0.00	5184.43
1772016300	XAUUSD	M5	5175.40	0.00	0.00	5183.82
1772016600	XAUUSD	M5	5174.48	0.00	0.00	5183.14
1772016900	XAUUSD	M5	5175.16	0.00	0.00	5182.56
1772017200	XAUUSD	M5	5171.44	0.00	0.00	5181.85
1772017500	XAUUSD	M5	5169.77	0.00	0.00	5181.13
1772017800	XAUUSD	M5	5163.64	0.00	0.00	5180.02
1772018100	XAUUSD	M5	5159.68	0.00	5155.40	5178.60
1772018400	XAUUSD	M5	5165.08	0.00	0.00	5177.48
1772018700	XAUUSD	M5	5168.85	0.00	0.00	5176.78
1772019000	XAUUSD	M5	5169.86	0.00	0.00	5176.30
1772019300	XAUUSD	M5	5167.67	0.00	0.00	5175.75
1772019600	XAUUSD	M5	5173.18	0.00	0.00	5175.43
1772019900	XAUUSD	M5	5173.30	0.00	0.00	5175.29
1772020200	XAUUSD	M5	5173.62	0.00	0.00	5175.20
1772020500	XAUUSD	M5	5181.67	0.00	0.00	5175.50
1772020800	XAUUSD	M5	5179.73	0.00	0.00	5175.84
1772021100	XAUUSD	M5	5181.07	0.00	0.00	5176.19
1772021400	XAUUSD	M5	5182.11	0.00	0.00	5176.61
1772021700	XAUUSD	M5	5183.84	0.00	0.00	5177.13
1772022000	XAUUSD	M5	5186.84	0.00	0.00	5177.74
1772022300	XAUUSD	M5	5183.54	5187.49	0.00	5178.25
1772022600	XAUUSD	M5	5179.74	0.00	0.00	5178.47
1772022900	XAUUSD	M5	5183.98	0.00	0.00	5178.71
1772023200	XAUUSD	M5	5184.73	0.00	0.00	5179.13
1772023500	XAUUSD	M5	5184.77	0.00	0.00	5179.52
