timestamp	symbol	timeframe	close	dual_tema_high	dual_tema_low
1771974000	XAUUSD	M5	5135.96	5143.85	5130.39
1771974300	XAUUSD	M5	5133.97	5139.55	5127.05
1771974600	XAUUSD	M5	5135.82	5136.32	5125.96
1771974900	XAUUSD	M5	5132.46	5135.50	5126.63
1771975200	XAUUSD	M5	5132.69	5133.03	5126.69
1771975500	XAUUSD	M5	5130.99	5131.64	5126.36
1771975800	XAUUSD	M5	5131.98	5132.44	5126.94
1771976100	XAUUSD	M5	5138.91	5134.65	5128.71
1771976400	XAUUSD	M5	5147.23	5141.67	5132.66
1771976700	XAUUSD	M5	5150.22	5146.99	5139.34
1771977000	XAUUSD	M5	5150.60	5150.68	5145.15
1771977300	XAUUSD	M5	5146.72	5152.16	5147.34
1771977600	XAUUSD	M5	5140.34	5152.34	5145.37
1771977900	XAUUSD	M5	5143.30	5149.22	5142.60
1771978200	XAUUSD	M5	5140.57	5147.00	5141.45
1771978500	XAUUSD	M5	5143.05	5146.30	5140.76
1771978800	XAUUSD	M5	5142.90	5146.49	5142.05
1771979100	XAUUSD	M5	5140.27	5144.93	5140.46
1771979400	XAUUSD	M5	5147.64	5148.03	5140.73
1771979700	XAUUSD	M5	5152.05	5151.67	5143.19
1771980000	XAUUSD	M5	5147.80	5154.27	5145.40
1771980300	XAUUSD	M5	5144.60	5151.91	5144.34
1771980600	XAUUSD	M5	5147.47	5150.36	5144.05
1771980900	XAUUSD	M5	5152.30	5153.46	5145.60
1771981200	XAUUSD	M5	5159.26	5158.18	5145.42
1771981500	XAUUSD	M5	5168.85	5165.95	5152.15
1771981800	XAUUSD	M5	5174.67	5172.87	5159.16
1771982100	XAUUSD	M5	5184.25	5181.14	5168.02
1771982400	XAUUSD	M5	5178.84	5186.91	5175.49
1771982700	XAUUSD	M5	5185.40	5190.81	5180.06
1771983000	XAUUSD	M5	5185.55	5191.89	5183.85
1771983300	XAUUSD	M5	5182.98	5193.54	5184.50
1771983600	XAUUSD	M5	5180.48	5192.26	5184.10
1771983900	XAUUSD	M5	5183.87	5191.00	5184.25
1771984200	XAUUSD	M5	5183.26	5189.19	5183.97
1771984500	XAUUSD	M5	5176.97	5187.32	5180.75
1771984800	XAUUSD	M5	5183.28	5186.09	5179.23
1771985100	XAUUSD	M5	5186.42	5186.33	5180.86
1771985400	XAUUSD	M5	5188.71	5187.75	5182.18
1771985700	XAUUSD	M5	5190.56	5190.73	5185.58
1771986000	XAUUSD	M5	5187.74	5191.11	5185.84
1771986300	XAUUSD	M5	5189.77	5191.05	5186.29
1771986600	XAUUSD	M5	5187.94	5190.98	5187.34
1771986900	XAUUSD	M5	5186.22	5189.64	5185.51
1771987200	XAUUSD	M5	5186.01	5188.40	5184.20
1771987500	XAUUSD	M5	5184.68	5187.34	5183.75
1771987800	XAUUSD	M5	5175.73	5185.49	5175.11
1771988100	XAUUSD	M5	5180.66	5183.67	5173.74
1771988400	XAUUSD	M5	5184.31	5186.06	5176.05
1771988700	XAUUSD	M5	5184.47	5185.79	5178.01
1771989000	XAUUSD	M5	5186.31	5185.77	5180.00
1771989300	XAUUSD	M5	5184.53	5186.27	5180.35
1771989600	XAUUSD	M5	5179.49	5185.73	5179.77
1771989900	XAUUSD	M5	5186.32	5186.00	5179.40
1771990200	XAUUSD	M5	5187.35	5187.02	5179.77
1771990500	XAUUSD	M5	5183.64	5187.59	5181.27
1771990800	XAUUSD	M5	5183.99	5186.27	5180.41
1771991100	XAUUSD	M5	5185.30	5186.78	5181.73
1771991400	XAUUSD	M5	5179.30	5186.05	5180.39
1771991700	XAUUSD	M5	5181.81	5185.19	5179.19
1771992000	XAUUSD	M5	5182.35	5184.03	5179.29
1771992300	XAUUSD	M5	5175.06	5182.86	5176.73
1771992600	XAUUSD	M5	5180.93	5181.99	5174.43
1771992900	XAUUSD	M5	5183.09	5182.94	5176.76
1771993200	XAUUSD	M5	5182.11	5183.53	5178.52
1771993500	XAUUSD	M5	5182.90	5184.16	5180.06
1771993800	XAUUSD	M5	5181.53	5184.03	5180.91
1771994100	XAUUSD	M5	5182.73	5183.50	5180.72
1771994400	XAUUSD	M5	5184.20	5183.76	5181.59
1771994700	XAUUSD	M5	5180.96	5184.33	5181.32
1771995000	XAUUSD	M5	5181.32	5183.18	5181.12
1771995300	XAUUSD	M5	5182.75	5183.29	5180.70
1771995600	XAUUSD	M5	5186.68	5185.71	5181.90
