timestamp	symbol	timeframe	close	ha_open	ha_high	ha_low	ha_close	ha_color	ha_body_size	ha_body_zscore	ha_trend
1744251000	XAUUSD	M5	5176.97	5182.88	5183.88	5174.88	5179.77	-1	3.12	-0.14357	-2
1744251300	XAUUSD	M5	5183.26	5182.74	5184.84	5180.43	5183.03	1	0.29	-0.83258	1
1744251600	XAUUSD	M5	5183.87	5182.74	5186.18	5180.4	5182.74	1	0	-0.9029	2
1744251900	XAUUSD	M5	5180.48	5183.45	5186.21	5178.66	5182.02	-1	1.43	-0.55622	-1
1744252200	XAUUSD	M5	5182.98	5182.46	5189.99	5179.25	5184.45	1	1.99	-0.42006	1
1744252500	XAUUSD	M5	5185.55	5180.02	5186.92	5180.02	5184.9	1	4.88	0.28467	2
1744252800	XAUUSD	M5	5185.4	5177.1	5188.65	5177.1	5182.94	1	5.84	0.52086	3
1744253100	XAUUSD	M5	5178.84	5172.04	5187.1	5172.04	5182.16	1	10.11	1.56412	4
1744253400	XAUUSD	M5	5184.25	5164.59	5185.18	5164.59	5179.49	1	14.9	2.74702	5
1744253700	XAUUSD	M5	5174.67	5158.08	5176.55	5158.08	5171.1	1	13.02	2.32918	6
1744254000	XAUUSD	M5	5168.85	5151.49	5172.05	5151.49	5164.67	1	13.18	2.40085	7
1744254300	XAUUSD	M5	5159.26	5148.5	5162.01	5144.36	5154.48	1	5.99	0.61412	8
1744254600	XAUUSD	M5	5152.3	5146.36	5156.25	5146.36	5150.63	1	4.27	0.17894	9
1744254900	XAUUSD	M5	5147.47	5147.04	5147.73	5142.92	5145.68	-1	1.36	-0.55431	-1
1744255200	XAUUSD	M5	5144.6	5148.69	5148.69	5141.94	5145.4	-1	3.29	-0.06996	-2
1744255500	XAUUSD	M5	5147.8	5146.75	5155.52	5146.75	5150.63	1	3.88	0.08123	1
1744255800	XAUUSD	M5	5152.05	5143.53	5154.77	5143.53	5149.97	1	6.43	0.72701	2
1744256100	XAUUSD	M5	5147.64	5141.99	5151.32	5140.66	5145.07	1	3.08	-0.11404	3
1744256400	XAUUSD	M5	5140.27	5142.99	5142.99	5137.92	5141	-1	1.99	-0.3864	-1
1744256700	XAUUSD	M5	5142.9	5142.22	5146.3	5142.22	5143.75	1	1.53	-0.503	1
1744257000	XAUUSD	M5	5143.05	5142.53	5144.93	5139.08	5141.91	-1	0.62	-0.73143	-1
1744257300	XAUUSD	M5	5140.57	5143.56	5143.56	5138.82	5141.5	-1	2.06	-0.37383	-2
1744257600	XAUUSD	M5	5143.3	5146.03	5146.03	5137.25	5141.09	-1	4.94	0.34642	-3
1744257900	XAUUSD	M5	5140.34	5147.88	5149.73	5139.92	5144.18	-1	3.7	0.03145	-4
1744258200	XAUUSD	M5	5146.72	5147.12	5150.88	5146.35	5148.64	1	1.51	-0.51925	1
1744258500	XAUUSD	M5	5150.6	5143.7	5152.38	5143.7	5150.55	1	6.84	0.81486	2
1744258800	XAUUSD	M5	5150.22	5138.67	5151.63	5138.67	5148.73	1	10.06	1.62588	3
1744259100	XAUUSD	M5	5147.23	5133.91	5150.07	5133.91	5143.44	1	9.53	1.507	4
1744259400	XAUUSD	M5	5138.91	5132.32	5138.95	5132.06	5135.49	1	3.18	-0.08228	5
1744259700	XAUUSD	M5	5131.98	5132.49	5135.98	5129.63	5132.14	-1	0.35	-0.79167	-1
1744260000	XAUUSD	M5	5130.99	5133.66	5133.66	5128.54	5131.33	-1	2.33	-0.29274	-2
1744260300	XAUUSD	M5	5132.69	5135.17	5135.17	5129.88	5132.15	-1	3.02	-0.11942	-3
1744260600	XAUUSD	M5	5132.46	5135.64	5137.91	5131.36	5134.7	-1	0.95	-0.63911	-4
1744260900	XAUUSD	M5	5135.82	5137.5	5137.5	5129.36	5133.78	-1	3.72	0.05812	-5
